Subway Café Government Building Convenience Store,Train Station,20,1.0
Convenience Store Japanese Restaurant,Fast Food Restaurant,21,0.9545454545454546
Arcade,Gym / Fitness Center,20,0.8695652173913043
Convenience Store Bar Neighborhood,Train Station,22,1.0
Train Station Convenience Store Bridge,Food & Drink Shop,21,0.9130434782608695
Bookstore Food & Drink Shop,Train Station,24,1.0
Office,Train Station,29,1.0
Bridge,Road,38,0.926829268292683
Military Base Food & Drink Shop,Train Station,25,0.9615384615384616
Subway Food & Drink Shop Convenience Store Miscellaneous Shop Office,Train Station,21,1.0
Convenience Store,Train Station,26,1.0
Ramen /  Noodle House Arcade,Train Station,20,1.0
Park Subway Convenience Store,Train Station,20,1.0
Food & Drink Shop Convenience Store Mall,Train Station,20,1.0
Park Art Museum Historic Site Office Stadium,Science Museum,23,0.8846153846153846
Bridge,Road,20,0.7142857142857143
Building Home (private) River Bridge,Train Station,21,1.0
Bus Station,Train Station,32,1.0
Tea Room Other Great Outdoors,Ramen /  Noodle House,20,0.9523809523809523
Food & Drink Shop,Train Station,20,1.0
College Academic Building,Train Station,20,0.9090909090909091
Train Station Mall Road Other Great Outdoors Bridge,Park,23,0.92
University Arcade,Train Station,21,1.0
Japanese Restaurant,Train Station,20,1.0
Road Convenience Store,Train Station,27,0.7714285714285715
Train Station Road,Building,22,0.7857142857142857
Miscellaneous Shop,Train Station,20,0.9523809523809523
Coffee Shop,Train Station,26,1.0
Subway Office Smoke Shop,Train Station,22,0.9565217391304348
Train Station Subway Bus Station,Building,24,0.8888888888888888
Road Mall Bridge,Train Station,20,0.9523809523809523
Train Station Miscellaneous Shop,Food & Drink Shop,22,0.88
Subway,Train Station,55,0.859375
Road,Train Station,30,0.967741935483871
Arcade,Train Station,23,0.8846153846153846
Subway,Train Station,24,1.0
Bridge,Train Station,24,1.0
Shrine University Convenience Store,Subway,20,1.0
Convenience Store,Bus Station,22,0.7857142857142857
Convenience Store,Train Station,34,0.9714285714285714
Plaza Bookstore Video Store,Train Station,26,0.9629629629629629
Subway,Bus Station,21,0.9545454545454546
Subway Convenience Store,Train Station,22,1.0
Park Bar Road Bridge,Train Station,21,0.9130434782608695
Neighborhood,Temple,22,0.7586206896551724
Subway,Train Station,28,0.9333333333333333
Hobby Shop,Train Station,21,1.0
Food & Drink Shop Subway,Train Station,20,1.0
Convenience Store,Train Station,22,0.88
Convenience Store,Food & Drink Shop,21,0.75
Arcade,Train Station,21,1.0
Convenience Store,Park,40,0.9302325581395349
Road Other Great Outdoors,Travel & Transport,21,1.0
