Subway Café Government Building Convenience Store,Train Station,20,1.0
Government Building Café Convenience Store,Train Station Subway,20,0.7692307692307693
Convenience Store Café,Train Station Government Building Subway,20,0.7692307692307693
Subway Café Convenience Store,Train Station Government Building,20,1.0
Subway Café,Train Station Government Building Convenience Store,20,0.9090909090909091
Government Building Subway Café,Train Station Convenience Store,20,0.9090909090909091
Train Station Café Government Building Convenience Store,Subway,20,0.7692307692307693
Train Station Convenience Store Café,Government Building Subway,20,0.7692307692307693
Train Station Subway Café Convenience Store,Government Building,20,1.0
Train Station Subway Café,Government Building Convenience Store,20,0.9090909090909091
Train Station Subway Café Government Building,Convenience Store,20,0.9090909090909091
Café Government Building Convenience Store Scenic Lookout,Train Station,21,1.0
Convenience Store Café Scenic Lookout,Train Station Government Building,21,1.0
Café Scenic Lookout,Train Station Government Building Convenience Store,21,0.875
Café,Train Station Government Building Convenience Store Scenic Lookout,21,0.7
Convenience Store Café,Train Station Government Building Scenic Lookout,21,0.8076923076923077
Government Building Café Scenic Lookout,Train Station Convenience Store,21,0.875
Government Building Café,Train Station Convenience Store Scenic Lookout,21,0.7
Government Building Convenience Store Café,Train Station Scenic Lookout,21,0.8076923076923077
Train Station Café Convenience Store Scenic Lookout,Government Building,21,1.0
Train Station Café Scenic Lookout,Government Building Convenience Store,21,0.875
Train Station Café,Government Building Convenience Store Scenic Lookout,21,0.7
Train Station Convenience Store Café,Government Building Scenic Lookout,21,0.8076923076923077
Train Station Café Government Building Scenic Lookout,Convenience Store,21,0.875
Train Station Government Building Café,Convenience Store Scenic Lookout,21,0.7
Train Station Café Government Building Convenience Store,Scenic Lookout,21,0.8076923076923077
Subway Government Building Convenience Store Scenic Lookout,Train Station,25,1.0
Subway Convenience Store Scenic Lookout,Train Station Government Building,25,1.0
Subway Scenic Lookout,Train Station Government Building Convenience Store,25,0.8928571428571429
Subway,Train Station Government Building Convenience Store Scenic Lookout,25,0.7575757575757576
Subway Convenience Store,Train Station Government Building Scenic Lookout,25,0.8333333333333334
Government Building Subway Scenic Lookout,Train Station Convenience Store,25,0.8928571428571429
Government Building Subway,Train Station Convenience Store Scenic Lookout,25,0.7575757575757576
Government Building Subway Convenience Store,Train Station Scenic Lookout,25,0.8333333333333334
Train Station Subway Convenience Store Scenic Lookout,Government Building,25,1.0
Train Station Subway Scenic Lookout,Government Building Convenience Store,25,0.8928571428571429
Train Station Subway,Government Building Convenience Store Scenic Lookout,25,0.7575757575757576
Train Station Subway Convenience Store,Government Building Scenic Lookout,25,0.8333333333333334
Train Station Subway Government Building Scenic Lookout,Convenience Store,25,0.8928571428571429
Train Station Government Building Subway,Convenience Store Scenic Lookout,25,0.7575757575757576
Train Station Subway Government Building Convenience Store,Scenic Lookout,25,0.8333333333333334
Government Building Convenience Store Drugstore / Pharmacy,Train Station,21,1.0
Convenience Store Drugstore / Pharmacy,Train Station Government Building,21,0.9545454545454546
Drugstore / Pharmacy,Train Station Government Building Convenience Store,21,0.9130434782608695
Government Building Drugstore / Pharmacy,Train Station Convenience Store,21,0.9545454545454546
Train Station Convenience Store Drugstore / Pharmacy,Government Building,21,1.0
Train Station Drugstore / Pharmacy,Government Building Convenience Store,21,0.9545454545454546
Train Station Government Building Drugstore / Pharmacy,Convenience Store,21,0.9545454545454546
Government Building Convenience Store Medical Center,Train Station,24,1.0
Convenience Store Medical Center,Train Station Government Building,24,1.0
Medical Center,Train Station Government Building Convenience Store,24,0.9230769230769231
Government Building Medical Center,Train Station Convenience Store,24,0.9230769230769231
Train Station Convenience Store Medical Center,Government Building,24,1.0
Train Station Medical Center,Government Building Convenience Store,24,0.9230769230769231
Train Station Government Building Medical Center,Convenience Store,24,0.9230769230769231
Subway Café Convenience Store,Government Building,20,1.0
Café Convenience Store,Government Building Subway,20,0.7692307692307693
Subway Café,Government Building Convenience Store,20,0.9090909090909091
Government Building Café Convenience Store,Subway,20,0.7692307692307693
Government Building Subway Café,Convenience Store,20,0.9090909090909091
Subway Café Convenience Store,Train Station,20,1.0
Café Convenience Store,Train Station Subway,20,0.7692307692307693
Subway Café,Train Station Convenience Store,20,0.9090909090909091
Train Station Café Convenience Store,Subway,20,0.7692307692307693
Train Station Subway Café,Convenience Store,20,0.9090909090909091
Government Building Subway Café,Train Station,22,1.0
Subway Café,Train Station Government Building,22,1.0
Café,Train Station Government Building Subway,22,0.7333333333333333
Government Building Café,Train Station Subway,22,0.7333333333333333
Train Station Subway Café,Government Building,22,1.0
Train Station Café,Government Building Subway,22,0.7333333333333333
Train Station Government Building Café,Subway,22,0.7333333333333333
Convenience Store Café Scenic Lookout,Government Building,21,1.0
Café Scenic Lookout,Government Building Convenience Store,21,0.875
Café,Government Building Convenience Store Scenic Lookout,21,0.7
Convenience Store Café,Government Building Scenic Lookout,21,0.8076923076923077
Government Building Café Scenic Lookout,Convenience Store,21,0.875
Government Building Café,Convenience Store Scenic Lookout,21,0.7
Government Building Convenience Store Café,Scenic Lookout,21,0.8076923076923077
Convenience Store Café Scenic Lookout,Train Station,21,1.0
Café Scenic Lookout,Train Station Convenience Store,21,0.875
Café,Train Station Convenience Store Scenic Lookout,21,0.7
Convenience Store Café,Train Station Scenic Lookout,21,0.8076923076923077
